,model_pearsonHT29,model_spearHT29,model_accHT29,recon_pear_ht29,recon_spear_ht29,recon_acc_ht29,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.6706133484840393,0.5733861675805574,0.7036263137021614,0.9867282509803772,0.9803643136387048,0.9426558866475582,0.49128735065460205,0.4151903706567338,0.642982847511402,0.642982847511402
1,0.5829734802246094,0.4615694826491838,0.6583159825500694,0.9876253008842468,0.9803327277758505,0.9429172750707552,0.44977280497550964,0.37370838092288994,0.63110499702558,0.63110499702558
2,0.7016862630844116,0.5839875652950699,0.7084647035494746,0.9875709414482117,0.9800466991005382,0.9421637553404358,0.46752122044563293,0.38020034327477603,0.6262790005948841,0.6262790005948841
3,0.6190105676651001,0.47712256797108143,0.6686867935752528,0.9877419471740723,0.9807637021854434,0.9437609287401076,0.4201890826225281,0.33817722758129615,0.6173755700971644,0.6173755700971644
4,0.6614552140235901,0.5553141964390912,0.6984161213563355,0.9859018921852112,0.9796815770979785,0.9438772015214606,0.5349923968315125,0.41730942442906577,0.6468768590124926,0.6468768590124926
5,0.5737818479537964,0.481217333693036,0.6703549474519136,0.9848427176475525,0.9760857319402935,0.9386881906513079,0.4142354726791382,0.36507086144076945,0.6263682331945271,0.6263682331945271
6,0.5288926959037781,0.4223222232275713,0.6468049771961134,0.985309898853302,0.978870386997041,0.9419690660321234,0.30587396025657654,0.2713862383736281,0.5905686099543923,0.5905686099543923
7,0.6564908027648926,0.5633560174169274,0.7038221296847115,0.9867639541625977,0.980553527192528,0.9459178339011772,0.45318472385406494,0.36913598746777254,0.6299672813801309,0.6299672813801309
8,0.5191764235496521,0.4007447523899968,0.6349196906603212,0.9818952679634094,0.9750297539840834,0.9374299208624013,0.3015519082546234,0.25471323340371976,0.5817345825897282,0.5817345825897282
9,0.5827580094337463,0.47236727391594047,0.664998512790006,0.985937237739563,0.9805831047626672,0.9433165684206731,0.3816031515598297,0.30740572075347716,0.6040080309339679,0.6040080309339679
