,model_pearsonHT29,model_spearHT29,model_accHT29,recon_pear_ht29,recon_spear_ht29,recon_acc_ht29,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.6342288851737976,0.5482312343232436,0.6921871901645845,0.8280313014984131,0.7746389909071236,0.7982144466677482,0.49128735065460205,0.4151903706567338,0.642982847511402,0.642982847511402
1,0.588533341884613,0.454725095944401,0.6580259766012294,0.840223491191864,0.7849976748854812,0.8032069655508084,0.44977280497550964,0.37370838092288994,0.63110499702558,0.63110499702558
2,0.6993728280067444,0.5748924316279057,0.7046772754312909,0.815161406993866,0.7651673638861328,0.7940998323508731,0.46752122044563293,0.38020034327477603,0.6262790005948841,0.6262790005948841
3,0.603665292263031,0.46174415559589627,0.6632584770969661,0.8353458642959595,0.7816890503358233,0.8035584879130387,0.4201890826225281,0.33817722758129615,0.6173755700971644,0.6173755700971644
4,0.6211076378822327,0.5200901916181557,0.6842405314297044,0.847909152507782,0.8064280225777181,0.8188001370035871,0.5349923968315125,0.41730942442906577,0.6468768590124926,0.6468768590124926
5,0.5711657404899597,0.46361982172273725,0.6624504263335316,0.852739691734314,0.8095688723865976,0.8199727795504119,0.4142354726791382,0.36507086144076945,0.6263682331945271,0.6263682331945271
6,0.5357906222343445,0.43933364142941533,0.6531454491374181,0.8317877054214478,0.790273473254502,0.8071575360986427,0.30587396025657654,0.2713862383736281,0.5905686099543923,0.5905686099543923
7,0.6181214451789856,0.5417730731868294,0.6921301804481459,0.8523136377334595,0.8124452847298456,0.8236709750689523,0.45318472385406494,0.36913598746777254,0.6299672813801309,0.6299672813801309
8,0.5250521302223206,0.40836984578978264,0.6386178861788618,0.8428128361701965,0.8081389304900961,0.8191336325780111,0.3015519082546234,0.25471323340371976,0.5817345825897282,0.5817345825897282
9,0.578170120716095,0.4689813581765058,0.6639649018441404,0.8256844878196716,0.7785577401524317,0.803235808411299,0.3816031515598297,0.30740572075347716,0.6040080309339679,0.6040080309339679
