,F1_score,ClassAccuracy,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375
0,1.0,1.0,0.6875104308128357,0.6309571266174316,0.599513184346447,0.5578678643799277,0.7140169541939322,0.6946830265848671,0.8715107440948486,0.8351190090179443,0.8359436191638934,0.7812597013810506,0.8305112397021975,0.7971796182685754
1,1.0,1.0,0.6014909744262695,0.6726120710372925,0.4912505434692287,0.5407774742674941,0.6712547094983146,0.6959867075664622,0.8541345596313477,0.8280637860298157,0.8208487566747652,0.7720735473675868,0.8217321940403438,0.7953817314246763
2,1.0,1.0,0.6985939741134644,0.7233723402023315,0.5971265273430664,0.6348611830019133,0.7120166567519334,0.7251533742331289,0.8465339541435242,0.8422891497612,0.817626157168481,0.7903451075570939,0.8209894903827087,0.8017382413087935
3,1.0,1.0,0.6280745267868042,0.6353867650032043,0.512499683361014,0.5264988640042508,0.6806241324608368,0.687678936605317,0.8520404696464539,0.8303178548812866,0.8138566279784565,0.7723628000528119,0.8199529500838244,0.7936605316973415
4,1.0,1.0,0.6456543803215027,0.6768031120300293,0.5423134928450347,0.587885116456136,0.6927473725956772,0.7030163599182004,0.8758543133735657,0.8386847972869873,0.8517437952916179,0.776095612482727,0.8428929389072162,0.7959355828220859
5,1.0,1.0,0.5998287200927734,0.6304252743721008,0.5070337555734502,0.5430832061395433,0.6828896490184414,0.6911809815950921,0.8723427653312683,0.8440013527870178,0.8480146136430313,0.8002089792116298,0.8410623186054477,0.8133179959100205
6,1.0,1.0,0.5508314371109009,0.548209011554718,0.4628915509623262,0.4775253928756453,0.6631295855641484,0.659918200408998,0.8681814074516296,0.8280488848686218,0.8450841647005424,0.7823738199780579,0.8383510897193228,0.8012014314928424
7,1.0,1.0,0.6591379046440125,0.6312361359596252,0.5774734165180371,0.5661880800373907,0.709971743010113,0.7017382413087934,0.8805462718009949,0.8241703510284424,0.8607308551813596,0.7873456409993916,0.8494808285111678,0.8062542603953647
8,1.0,1.0,0.5366093516349792,0.5251474380493164,0.41587078937853433,0.4314749838947115,0.6420682133650605,0.6458844580777096,0.8661496639251709,0.832879364490509,0.8428980625016465,0.7930651621231048,0.8375660231103419,0.8069018404907975
9,1.0,1.0,0.5812312960624695,0.5649610161781311,0.47846512471815894,0.49654949400446347,0.6681414832441007,0.6737985685071575,0.8554456233978271,0.8232775330543518,0.8261602496897805,0.7877094111288386,0.8270771366250247,0.8037321063394683
