,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375,cross_corr_ht29,cross_corr_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.7393744587898254,0.7140371203422546,0.6611952901157139,0.6432268340297492,0.7330010224948875,0.7319274028629857,0.8355263471603394,0.8133125305175781,0.7819739935334962,0.7468448456280604,0.8004182933630785,0.7808623040218132,0.6773452758789062,0.6850532293319702,0.5206855535507202,0.46303116864283284,0.6627300613496933,0.6627300613496933
1,0.6935352087020874,0.6882650256156921,0.6022084167036075,0.6025727252291626,0.7170756646216769,0.72060327198364,0.8225510716438293,0.8077726364135742,0.7603121297317693,0.7330888111271929,0.7898401189812232,0.7743694614860258,0.6625155806541443,0.6788623332977295,0.4794166088104248,0.4203035512506793,0.6498466257668711,0.6498466257668711
2,0.7456479668617249,0.7269750833511353,0.6377577886994509,0.6393705782430285,0.7229294478527606,0.7281441717791411,0.809660017490387,0.8245095014572144,0.7497042061103082,0.759257524226008,0.78218070273285,0.7879089979550102,0.6525788903236389,0.6718971133232117,0.5004222393035889,0.43260756175577236,0.644836400817996,0.644836400817996
3,0.6676499247550964,0.6497281193733215,0.5713432872453333,0.5556521305505312,0.7049079754601226,0.6983895705521472,0.8191094994544983,0.8117781281471252,0.7512949965396072,0.7399844270624989,0.7867540435025098,0.7798653715064758,0.6359702944755554,0.6728507280349731,0.44552382826805115,0.39339340574144455,0.6358895705521472,0.6358895705521472
4,0.7346959114074707,0.7112073302268982,0.6218338636702521,0.5982087098763829,0.7211656441717791,0.7072341513292434,0.8369105458259583,0.8198520541191101,0.7841998459140392,0.7420733665167257,0.8080405279791781,0.7792263122017723,0.6855236291885376,0.703698456287384,0.5428716540336609,0.44250330575762253,0.6531441717791411,0.6531441717791411
5,0.6562719345092773,0.615224301815033,0.6019869846841972,0.573055692065943,0.7169734151329243,0.7050102249488753,0.8306844234466553,0.8203173875808716,0.768237191756408,0.7635039270371656,0.8003346346904627,0.7936690524880708,0.6651870012283325,0.7107579112052917,0.45602622628211975,0.4331634256700152,0.6545245398773006,0.6545245398773006
6,0.5849686861038208,0.5472977757453918,0.5222766246165256,0.5014195573515584,0.6767893660531697,0.6695807770961146,0.8319960236549377,0.8076769113540649,0.7740428192896581,0.7519253447483166,0.8015058561070831,0.785974778459441,0.6566007733345032,0.6989441514015198,0.3912511467933655,0.35391626058167847,0.6184049079754601,0.6184049079754601
7,0.6804429292678833,0.6328482627868652,0.6393425612085373,0.59691886976132,0.7299079754601226,0.7117842535787322,0.8491578698158264,0.8013595938682556,0.8003945689800908,0.756172794839113,0.8189719278676334,0.7902522154055895,0.6582306027412415,0.7031295299530029,0.4556507170200348,0.433181901263805,0.6524284253578732,0.6524284253578732
8,0.5770898461341858,0.5430108904838562,0.4855658525457355,0.47660536936491377,0.6618609406952964,0.664519427402863,0.8179001212120056,0.805904746055603,0.767115482853181,0.7566331625954039,0.7958077709611454,0.789766530334015,0.6469131112098694,0.6583643555641174,0.3736864924430847,0.33768846174922024,0.6101482617586912,0.6101482617586912
9,0.588564395904541,0.5862550735473633,0.5156154012946634,0.5334170612070688,0.6790899795501023,0.6875255623721881,0.8186609148979187,0.7895846962928772,0.7601860072006555,0.7376431813678352,0.7877579475738985,0.7782719836400818,0.6784586906433105,0.660559892654419,0.4139716327190399,0.372399279128891,0.6288087934560327,0.6288087934560327
