,F1_score,ClassAccuracy,model_pearsonHA1E,model_pearsonPC3,model_spearHA1E,model_spearPC3,model_accHA1E,model_accPC3,recon_pear_ha1e,recon_pear_pc3,recon_spear_ha1e,recon_spear_pc3,recon_acc_ha1e,recon_acc_pc3,Direct_pearson,Direct_spearman,DirectAcc_ha1e,DirectAcc_pc3
0,1.0,1.0,0.5627263784408569,0.5892350673675537,0.5084174225252693,0.5314706971368347,0.6812294726405155,0.6871475491107393,0.7840389609336853,0.798882246017456,0.7432031557552312,0.7638027787099765,0.7837958905443567,0.7903746365621914,0.343805193901062,0.3396298840261605,0.6204375038730866,0.6204375038730866
1,1.0,1.0,0.6025747060775757,0.6007637977600098,0.5322754357254016,0.5190353621269368,0.6904938960153684,0.6781929726715002,0.7944617867469788,0.8133495450019836,0.7365553500015071,0.7407941064662115,0.7829097283085013,0.7794054227007776,0.3746946454048157,0.3529270010179384,0.6234430191485405,0.6234430191485405
2,1.0,1.0,0.6667158007621765,0.6625819802284241,0.5694979926017819,0.5722584601470074,0.6969387122761355,0.6952345541302597,0.8019377589225769,0.7899255156517029,0.7321848951875896,0.7383094291904763,0.7795793163891324,0.7799062365232392,0.4003080427646637,0.3570763834711006,0.6212121212121212,0.6212121212121212
3,1.0,1.0,0.5868218541145325,0.6080301403999329,0.4922596556726276,0.5221866076235221,0.6743508706698891,0.6810125797855859,0.8017128109931946,0.7904554009437561,0.7314921417130245,0.7650437514039834,0.7788781770376861,0.799938789421699,0.3757084906101227,0.35912711798799735,0.6248373303588027,0.6248373303588027
4,1.0,1.0,0.6806231141090393,0.6744040250778198,0.5729695552642677,0.5789211290862284,0.7066369213608479,0.7057073805540063,0.8472936153411865,0.8471224904060364,0.7814298474007535,0.7983546731843159,0.8050345700652447,0.8121600378392666,0.38992151618003845,0.3512453869895712,0.6289273099089049,0.6289273099089049
5,1.0,1.0,0.5851299166679382,0.607312023639679,0.5332313813188527,0.5414884439349907,0.6892854929664747,0.6828096920121459,0.8060445189476013,0.8292859792709351,0.7747268826317925,0.783666158368179,0.7984126984126984,0.8016151245774383,0.35769951343536377,0.3171503503662783,0.6070521162545702,0.6070521162545702
6,1.0,1.0,0.5139065384864807,0.5611732006072998,0.4702570352223299,0.5200360252970448,0.6538390035322551,0.6769845696226063,0.8070380091667175,0.8195533752441406,0.7688316926348686,0.7788274593171722,0.7970396338494498,0.7988815157965026,0.3269427716732025,0.29869987099879647,0.6002974530581893,0.6002974530581893
7,1.0,1.0,0.5480050444602966,0.5797726511955261,0.4952524175493191,0.5622556616742209,0.6663568197310529,0.695110615356014,0.7979878187179565,0.8089947700500488,0.7583307168452249,0.7764615705428952,0.7913234005258545,0.8021994073703101,0.35001707077026367,0.3380344822605664,0.6156038916775113,0.6156038916775113
8,1.0,1.0,0.5671828389167786,0.5565412640571594,0.505363209802587,0.47522315882360905,0.6738551155729071,0.659292309599058,0.8133155107498169,0.8168210983276367,0.772600127576161,0.7729887504643989,0.7982666277144804,0.7985545956623958,0.35877951979637146,0.32186193631200144,0.60816756522278,0.60816756522278
9,1.0,1.0,0.549717366695404,0.5914676189422607,0.4581527159305308,0.5168975877566233,0.653188324967466,0.6713453553944352,0.791039228439331,0.7885692715644836,0.7552693275968696,0.7502718342344631,0.7887817703768625,0.7863681259824994,0.34115439653396606,0.29500412512053265,0.5939146061845448,0.5939146061845448
