,model_pearsonPC3,model_spearPC3,model_accPC3,recon_pear_pc3,recon_spear_pc3,recon_acc_pc3,Direct_pearson,Direct_spearman,DirectAcc_ha1e,DirectAcc_pc3
0,0.4910457134246826,0.3965835877527051,0.6345819888354094,0.9810038208961487,0.9735348923883684,0.934815012659833,0.2947435975074768,0.27606533295265984,0.5935379974642319,0.5935379974642319
1,0.4904748797416687,0.4100657072904454,0.6436494631021699,0.9870668053627014,0.9770425199530581,0.9391680527059126,0.3503803312778473,0.31528465636093594,0.6098762761463534,0.6098762761463534
2,0.5448518991470337,0.4322422198583564,0.6448422355620452,0.9819185733795166,0.9737249516214,0.9341715667032228,0.337028831243515,0.28246581885320887,0.5944423413192003,0.5944423413192003
3,0.5306271314620972,0.43577754041763667,0.652957294539686,0.9826106429100037,0.9757773567430164,0.9398553393199437,0.3484990894794464,0.3127216656515044,0.6076109098119805,0.6076109098119805
4,0.5987379550933838,0.49166956066673195,0.6735649174673565,0.9836004376411438,0.9720928531526185,0.9353235642859166,0.3832576274871826,0.3137478586997966,0.6117841111892273,0.6117841111892273
5,0.4837002158164978,0.40088659165046614,0.632689176115708,0.9778434634208679,0.9684945661082578,0.9293093005594069,0.32032957673072815,0.2592670257481762,0.5859216796159092,0.5859216796159092
6,0.46087217330932617,0.37726425077032355,0.6282395639920922,0.9765151143074036,0.9671209881804319,0.9275077867752297,0.2690584659576416,0.22449735544117713,0.5745287497220869,0.5745287497220869
7,0.4249613881111145,0.35816541735248786,0.6195987237034233,0.9761343002319336,0.9668821597503577,0.9277991585291663,0.3091377913951874,0.26040072529378133,0.589316724652834,0.589316724652834
8,0.4109535813331604,0.33750514834414747,0.6073164722778048,0.9776152968406677,0.9678200480627615,0.9291170761384069,0.2982670068740845,0.2527786197678285,0.5835902150595785,0.5835902150595785
9,0.4801679849624634,0.38782100688041005,0.6238770813428755,0.9794146418571472,0.9719193724308002,0.9318615012929622,0.2685238718986511,0.23090945748852568,0.5720290351462273,0.5720290351462273
