,model_pearsonHA1E,model_spearHA1E,model_accHA1E,recon_pear_ha1e,recon_spear_ha1e,recon_acc_ha1e,Direct_pearson,Direct_spearman,DirectAcc_ha1e,DirectAcc_pc3
0,0.4764665961265564,0.40652861573915694,0.645695503518228,0.986504077911377,0.9807960518882709,0.9442754218482952,0.2947435975074768,0.27606533295265984,0.5935379974642319,0.5935379974642319
1,0.5021387338638306,0.4177836348109036,0.6471196197549559,0.9877910614013672,0.9815473860319008,0.9449656761375976,0.3503803312778473,0.31528465636093594,0.6098762761463534,0.6098762761463534
2,0.6000536680221558,0.4496918095076182,0.6584644782146271,0.9879475235939026,0.9819492893703203,0.9449354598075597,0.337028831243515,0.28246581885320887,0.5944423413192003,0.5944423413192003
3,0.4702645242214203,0.3719940074436314,0.6312590509497112,0.9876968860626221,0.9815459445139577,0.9444123395937792,0.3484990894794464,0.3127216656515044,0.6076109098119805,0.6076109098119805
4,0.6620379090309143,0.4531155392371848,0.670004626875537,0.9894219636917114,0.9825613676016478,0.9472167927254185,0.3832576274871826,0.3137478586997966,0.6117841111892273,0.6117841111892273
5,0.4811035990715027,0.41166651109867186,0.6472608295927749,0.9875774383544922,0.9818611244478331,0.9452272362444878,0.32032957673072815,0.2592670257481762,0.5859216796159092,0.5859216796159092
6,0.4024427831172943,0.318610634141997,0.6096990127329212,0.9870307445526123,0.9814666436284355,0.9451120364862184,0.2690584659576416,0.22449735544117713,0.5745287497220869,0.5745287497220869
7,0.35674846172332764,0.2969850258699737,0.5989700695233117,0.9868586659431458,0.9812009503117085,0.9438372850627462,0.3091377913951874,0.26040072529378133,0.589316724652834,0.589316724652834
8,0.4461180865764618,0.3871514657470607,0.6329445556096359,0.9866361618041992,0.9824426815971714,0.945110147965591,0.2982670068740845,0.2527786197678285,0.5835902150595785,0.5835902150595785
9,0.4667220711708069,0.375243166960548,0.6284739122335791,0.9868799448013306,0.9820518008514004,0.9442131006675921,0.2685238718986511,0.23090945748852568,0.5720290351462273,0.5720290351462273
