,F1_score,ClassAccuracy,model_pearsonHA1E,model_pearsonPC3,model_spearHA1E,model_spearPC3,model_accHA1E,model_accPC3,recon_pear_ha1e,recon_pear_pc3,recon_spear_ha1e,recon_spear_pc3,recon_acc_ha1e,recon_acc_pc3,Direct_pearson,Direct_spearman,DirectAcc_ha1e,DirectAcc_pc3
0,1.0,1.0,0.4589495360851288,0.4412524998188019,0.38947298124764146,0.37172262003384443,0.639232900089533,0.6274223496115228,0.8490762710571289,0.8608785271644592,0.8286042214878128,0.8427335087139828,0.8291379847596385,0.8349102480571844,0.2947435975074768,0.27606533174810544,0.5935379974642319,0.5935379974642319
1,1.0,1.0,0.4514399468898773,0.4388764500617981,0.36610376625812313,0.37285149052512506,0.6256797601235435,0.6301894615398481,0.851680338382721,0.8658171892166138,0.8257069039895784,0.834765099059863,0.8270738317139269,0.8294692852354109,0.3503803312778473,0.31528465874384504,0.6098762761463534,0.6098762761463534
2,1.0,1.0,0.5486428141593933,0.5002760887145996,0.4152526008458343,0.40401291849119597,0.6458517356792193,0.6386620518089882,0.8495450615882874,0.8459682464599609,0.8147781264633457,0.8258999753389021,0.8191392122980463,0.8233376634413433,0.337028831243515,0.28246581363652656,0.5944423413192003,0.5944423413192003
3,1.0,1.0,0.43743896484375,0.4776143431663513,0.3604227802068325,0.3866237194990401,0.6294623810983122,0.6340081360902301,0.8537752628326416,0.8687907457351685,0.821858495776078,0.8570560178158495,0.8228747060989774,0.848154173428245,0.3484990894794464,0.3127216687158967,0.6076109098119805,0.6076109098119805
4,1.0,1.0,0.5985895991325378,0.593529224395752,0.4306401004599847,0.4711825880998708,0.6619646795137574,0.6692865598279043,0.8821675777435303,0.8862897753715515,0.844519475555214,0.8652663493040383,0.8385456502648648,0.8501303753704537,0.3832576274871826,0.31374784454026294,0.6117841111892273,0.6117841111892273
5,1.0,1.0,0.4409264326095581,0.4442419707775116,0.3816712418623672,0.36707438707824114,0.6358198282648015,0.6233182509208683,0.862526535987854,0.8851304650306702,0.8515178839868631,0.864353682486984,0.841109317016515,0.8484812921797709,0.32032954692840576,0.2592670297174713,0.5859216796159092,0.5859216796159092
6,1.0,1.0,0.35885125398635864,0.3915703594684601,0.2778678618516309,0.3093206167061298,0.5954458325071056,0.5995529356623943,0.861686110496521,0.880681037902832,0.8401693483821878,0.8620689276979772,0.8352558473319924,0.8466844996971622,0.2690584659576416,0.22449735540933347,0.5745287497220869,0.5745287497220869
7,1.0,1.0,0.37870678305625916,0.38288721442222595,0.3085002338007342,0.32853307498084866,0.6041768067348079,0.6113094057769846,0.8535664081573486,0.874441385269165,0.8322009557503921,0.8603905840787215,0.8295931182308339,0.8473090604474984,0.3091377913951874,0.2604007220171202,0.589316724652834,0.589316724652834
8,1.0,1.0,0.4127023220062256,0.35156500339508057,0.3388868923639825,0.30003173210890083,0.6149718481663752,0.5975880157914663,0.8607635498046875,0.8801815509796143,0.839445570920852,0.8603255595153456,0.8331161534611861,0.8463857087550467,0.2982670068740845,0.2527786265045605,0.5835902150595785,0.5835902150595785
9,1.0,1.0,0.39999788999557495,0.40852656960487366,0.3217926441963122,0.34456114470224075,0.6043420522897025,0.6087736376255115,0.8483613133430481,0.8553775548934937,0.8341317806889559,0.8387005542648454,0.8296979311256526,0.8318272381330085,0.2685238718986511,0.23090947006198365,0.5720290351462273,0.5720290351462273
