,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375,cross_corr_ht29,cross_corr_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.6673483848571777,0.5741385817527771,0.5777309874978972,0.4944207009231203,0.7047293277810827,0.673264921673607,0.8351689577102661,0.8204693794250488,0.7802312450216223,0.7466911169894703,0.801799974762497,0.7857277414237558,0.5832074880599976,0.5530941486358643,0.49128738045692444,0.4151903706567338,0.642982847511402,0.642982847511402
1,0.5771543383598328,0.5909134149551392,0.4593551752108801,0.4530641486460629,0.6583605988498908,0.6611119373388856,0.8287855386734009,0.8146306276321411,0.767704100943048,0.7442307580111323,0.7953977610729545,0.7836316015599181,0.5273872017860413,0.5592331290245056,0.44977277517318726,0.37370838092288994,0.63110499702558,0.63110499702558
2,0.7065984010696411,0.6371482610702515,0.6014329244280638,0.5405412038240347,0.7169492365655363,0.6866919492365655,0.8079365491867065,0.8285892009735107,0.7556866256740695,0.7607056885594757,0.7893371550123484,0.7909420649084538,0.5355384945869446,0.5632463693618774,0.46752119064331055,0.38020034327477603,0.6262790005948841,0.6262790005948841
3,0.5932134389877319,0.5885955095291138,0.4565602527590942,0.4737918842507545,0.6608665476898672,0.671086159032322,0.8228360414505005,0.8088843822479248,0.7670550258924952,0.7323627097198551,0.7961702089304705,0.7786775398241786,0.4645237922668457,0.5363503098487854,0.4201890826225281,0.33817722758129615,0.6173755700971644,0.6173755700971644
4,0.654451847076416,0.6358534693717957,0.5577250481674006,0.53562316363981,0.7013831052944676,0.6907297243704145,0.8457134366035461,0.8283562064170837,0.8093434746657173,0.7550793007670528,0.8199799902655347,0.7918112565271994,0.6082445979118347,0.6401723623275757,0.5349923968315125,0.41730942442906577,0.6468768590124926,0.6468768590124926
5,0.5757509469985962,0.5527527332305908,0.4853816902084607,0.4326307337208606,0.6726502082093992,0.6518515764425936,0.8476760387420654,0.8321599364280701,0.8069443942805458,0.7801791898157872,0.819358066086204,0.8045442527596006,0.5279970169067383,0.5687075257301331,0.41423553228378296,0.36507086144076945,0.6263682331945271,0.6263682331945271
6,0.5289444923400879,0.4407481253147125,0.4337136318508824,0.3790715580330315,0.6516235375768392,0.6291790600832836,0.8273141384124756,0.7993606925010681,0.7891091273508924,0.7448518674461624,0.8095875470949832,0.7849651331879173,0.49458104372024536,0.4652539789676666,0.30587393045425415,0.2713862383736281,0.5905686099543923,0.5905686099543923
7,0.6329492926597595,0.5666329264640808,0.5443428903212169,0.45229524832466145,0.6942048383898473,0.6565263731905612,0.8515421748161316,0.816329836845398,0.8153016983491788,0.7703591981800817,0.8254448109891298,0.7982459184347941,0.5292748212814331,0.5650497078895569,0.4531847834587097,0.36913598746777254,0.6299672813801309,0.6299672813801309
8,0.5051975250244141,0.4051095247268677,0.3865251830107317,0.32535444182408463,0.6288196510013881,0.6064098750743605,0.8350667357444763,0.8149628043174744,0.7993006192088028,0.7618751827409921,0.8144746092693742,0.7922598982087382,0.4855038523674011,0.49468907713890076,0.3015519380569458,0.25471323340371976,0.5817345825897282,0.5817345825897282
9,0.5736784934997559,0.5194305777549744,0.46113701477885644,0.4250530777954841,0.6576219512195122,0.6516260162601626,0.8193687796592712,0.803443968296051,0.7684515648632388,0.7560386985195919,0.7975492581976816,0.7912709035626941,0.5431451201438904,0.505057692527771,0.3816031515598297,0.30740572075347716,0.6040080309339679,0.6040080309339679
