,model_pearsonHA1E,model_spearHA1E,model_accHA1E,recon_pear_ha1e,recon_spear_ha1e,recon_acc_ha1e,Direct_pearson,Direct_spearman,DirectAcc_ha1e,DirectAcc_pc3
0,0.4331599175930023,0.3581189487057307,0.6302014793983859,0.8412060141563416,0.8203821181912517,0.8248236593864198,0.2947435975074768,0.27606533295265984,0.5935379974642319,0.5935379974642319
1,0.4734271168708801,0.38543190525594223,0.6381542972857667,0.8452460169792175,0.8150772367053564,0.8215924005929955,0.3503803312778473,0.31528465636093594,0.6098762761463534,0.6098762761463534
2,0.5428617596626282,0.4017674084221706,0.6410085386884911,0.8464177846908569,0.8102519501427171,0.8171855377090356,0.337028831243515,0.28246581885320887,0.5944423413192003,0.5944423413192003
3,0.43956270813941956,0.3487938209754862,0.6240333135038667,0.8442877531051636,0.8065743847865389,0.815175207501204,0.3484990894794464,0.3127216656515044,0.6076109098119805,0.6076109098119805
4,0.5883736610412598,0.41910540151319575,0.6551175046118533,0.8823679089546204,0.8455775351298466,0.8395305137720366,0.3832576274871826,0.3137478586997966,0.6117841111892273,0.6117841111892273
5,0.4637576639652252,0.39969956639486587,0.6439649318887868,0.8597404956817627,0.8447604715766959,0.8373870428599757,0.32032957673072815,0.2592670257481762,0.5859216796159092,0.5859216796159092
6,0.36389607191085815,0.2878635267564077,0.5980266676280954,0.8523775935173035,0.8276473587190764,0.8275960076673937,0.2690584659576416,0.22449735544117713,0.5745287497220869,0.5745287497220869
7,0.34088847041130066,0.2783995308702103,0.5942650779057681,0.8482718467712402,0.8222999491441508,0.823985156227869,0.3091377913951874,0.26040072529378133,0.589316724652834,0.589316724652834
8,0.42499497532844543,0.36502836105344505,0.6250398091564064,0.8540436625480652,0.8334894296859114,0.8299377732453282,0.2982670068740845,0.2527786197678285,0.5835902150595785,0.5835902150595785
9,0.43258756399154663,0.3474162280158738,0.6164860983421364,0.8464690446853638,0.8300804694225548,0.8276007289689621,0.2685238718986511,0.23090945748852568,0.5720290351462273,0.5720290351462273
