,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.6889317035675049,0.6858973503112793,0.755322277545929,0.7523388266563416,model,validation,MCF7,0
1,0.6864781379699707,0.6831030249595642,0.7560182213783264,0.7500357031822205,model,validation,MCF7,0
2,0.6879909038543701,0.6883940100669861,0.7556647062301636,0.7550159692764282,model,validation,MCF7,0
3,0.7009226083755493,0.7063010931015015,0.7686212658882141,0.7691968679428101,model,validation,MCF7,0
4,0.695806622505188,0.6953564286231995,0.7610269784927368,0.7562593221664429,model,validation,MCF7,0
0,-0.009386001154780388,-0.0008195115369744599,0.32811617851257324,0.3300378918647766,shuffled,validation,MCF7,0
1,0.001843246165663004,-0.0015099230222404003,0.3214406669139862,0.31180357933044434,shuffled,validation,MCF7,0
2,-3.539552926667966e-05,0.00012210913700982928,0.33041712641716003,0.32527437806129456,shuffled,validation,MCF7,0
3,0.003778371959924698,0.0013756674015894532,0.3258212208747864,0.3339163661003113,shuffled,validation,MCF7,0
4,0.004994308575987816,0.01077275164425373,0.3307429552078247,0.32370811700820923,shuffled,validation,MCF7,0
