fold,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,-0.00155604199972004,-0.00268803723156452,0.314830869436264,0.308766484260559,shuffled,validation,HT29,2
1,-0.00221887440420687,0.00608860095962882,0.308083355426788,0.319520831108093,shuffled,validation,HT29,2
2,0.011833917349577,0.0154343405738473,0.318404823541641,0.303658574819565,shuffled,validation,HT29,2
3,-0.00299958745017648,-0.0027927802875638,0.315174043178558,0.304178386926651,shuffled,validation,HT29,2
4,-0.000365034182323143,-0.00581160513684154,0.310236543416977,0.30849090218544,shuffled,validation,HT29,2
0,0.578330218791962,0.564168155193329,0.770572185516357,0.769381463527679,AutoTransOp v1,validation,HT29,3
1,0.554988443851471,0.541183412075043,0.769152343273163,0.765065848827362,AutoTransOp v1,validation,HT29,3
2,0.578594267368317,0.557789027690888,0.76045823097229,0.76094251871109,AutoTransOp v1,validation,HT29,3
3,0.564205467700958,0.552585482597351,0.772546529769898,0.770679354667664,AutoTransOp v1,validation,HT29,3
4,0.5775545835495,0.559270143508911,0.771520614624023,0.768297910690308,AutoTransOp v1,validation,HT29,3
0,-0.00958359148353338,-0.0072115259245038,0.309105575084686,0.307036608457565,shuffled,validation,HT29,3
1,-0.00130495987832546,0.00759614538401365,0.300807774066925,0.310908079147339,shuffled,validation,HT29,3
2,-0.0121885379776359,-0.0018551490502432,0.303632408380508,0.309710085391998,shuffled,validation,HT29,3
3,0.00414132466539741,-0.00264528673142195,0.3071328997612,0.307376027107239,shuffled,validation,HT29,3
4,0.00215238984674215,0.00376387475989759,0.318067491054535,0.308102011680603,shuffled,validation,HT29,3
0,0.576291918754578,0.563139200210571,0.772949934005737,0.761793494224548,AutoTransOp v1,validation,HT29,4
1,0.574302554130554,0.558758914470673,0.772055864334106,0.759279191493988,AutoTransOp v1,validation,HT29,4
2,0.567765116691589,0.568995535373688,0.763954281806946,0.760187029838562,AutoTransOp v1,validation,HT29,4
3,0.581271469593048,0.552953183650971,0.77855509519577,0.767588615417481,AutoTransOp v1,validation,HT29,4
4,0.588827610015869,0.551012396812439,0.77604740858078,0.764181852340698,AutoTransOp v1,validation,HT29,4
0,0.000610099697951227,-0.0120941633358598,0.315651535987854,0.312504410743713,shuffled,validation,HT29,4
1,-0.00774208037182689,-0.00534268654882908,0.308055967092514,0.30618217587471,shuffled,validation,HT29,4
2,0.0103923631832004,0.0021515900734812,0.310218662023544,0.30443486571312,shuffled,validation,HT29,4
3,-0.0177667923271656,-0.0137103218585253,0.309158712625504,0.318578600883484,shuffled,validation,HT29,4
4,-0.00528420088812709,-0.0138499895110726,0.31073796749115,0.308363825082779,shuffled,validation,HT29,4
0,0.536928951740265,0.538715898990631,0.75186687707901,0.749395251274109,AutoTransOp v1,validation,MCF7,0
1,0.528254449367523,0.524527132511139,0.752013623714447,0.747890830039978,AutoTransOp v1,validation,MCF7,0
2,0.536026477813721,0.523694038391113,0.750138282775879,0.749695479869843,AutoTransOp v1,validation,MCF7,0
3,0.51859712600708,0.520790576934815,0.764133274555206,0.766680181026459,AutoTransOp v1,validation,MCF7,0
4,0.513996064662933,0.527085244655609,0.758402407169342,0.754297971725464,AutoTransOp v1,validation,MCF7,0
0,-0.018662054091692,-0.00918175466358662,0.320211738348007,0.320391893386841,shuffled,validation,MCF7,0
1,-0.00263713672757149,-0.00209061102941632,0.320245236158371,0.323830813169479,shuffled,validation,MCF7,0
2,0.00102530617732555,-0.0101406155154109,0.326721251010895,0.323102831840515,shuffled,validation,MCF7,0
3,-0.0112642021849751,-0.00713830627501011,0.3163703083992,0.328074991703033,shuffled,validation,MCF7,0
4,-0.000249322329182178,-0.0018374613719061,0.321827292442322,0.323945313692093,shuffled,validation,MCF7,0
0,0.544658899307251,0.534676671028137,0.755119144916534,0.746027588844299,AutoTransOp v1,validation,MCF7,1
1,0.532336175441742,0.504030406475067,0.757212340831757,0.744478821754456,AutoTransOp v1,validation,MCF7,1
2,0.529125988483429,0.517379999160767,0.756814956665039,0.747747182846069,AutoTransOp v1,validation,MCF7,1
3,0.53610360622406,0.528005361557007,0.769779980182648,0.760211765766144,AutoTransOp v1,validation,MCF7,1
4,0.541585147380829,0.524649798870087,0.760047793388367,0.752300500869751,AutoTransOp v1,validation,MCF7,1
0,0.00875025894492865,0.0108972759917378,0.329642474651337,0.32450333237648,shuffled,validation,MCF7,1
1,-0.00146866613067687,-0.00131598499137908,0.318315178155899,0.310669809579849,shuffled,validation,MCF7,1
2,-0.0116218766197562,-0.00300745735876262,0.330309391021729,0.330176711082459,shuffled,validation,MCF7,1
3,0.00877384841442108,-0.00140683609060943,0.327976942062378,0.318029791116715,shuffled,validation,MCF7,1
4,-0.000583120621740818,-0.00667210202664137,0.320968359708786,0.314288765192032,shuffled,validation,MCF7,1
0,0.538004159927368,0.534526348114014,0.750007569789887,0.752988517284393,AutoTransOp v1,validation,MCF7,2
1,0.51328432559967,0.508934140205383,0.74847686290741,0.749940156936646,AutoTransOp v1,validation,MCF7,2
2,0.528091728687286,0.522064208984375,0.749560058116913,0.753275275230408,AutoTransOp v1,validation,MCF7,2
3,0.518095433712006,0.518542110919952,0.766487419605255,0.765339255332947,AutoTransOp v1,validation,MCF7,2
4,0.524553656578064,0.525808990001679,0.756299555301666,0.757221400737763,AutoTransOp v1,validation,MCF7,2
0,-0.00319430720992386,-0.00453076232224703,0.316563129425049,0.334151744842529,shuffled,validation,MCF7,2
1,0.00837761908769608,0.00596384750679135,0.322031795978546,0.310490787029266,shuffled,validation,MCF7,2
2,-0.00199550879187882,-0.00215886509977281,0.328269779682159,0.335819721221924,shuffled,validation,MCF7,2
3,-0.000284556474070996,-0.00640425039455295,0.329395741224289,0.329214602708817,shuffled,validation,MCF7,2
4,0.0133205372840166,0.0073792184703052,0.328027755022049,0.317976444959641,shuffled,validation,MCF7,2
0,0.519736707210541,0.505910277366638,0.754952788352966,0.745875895023346,AutoTransOp v1,validation,MCF7,3
1,0.523448169231415,0.497788608074188,0.75229686498642,0.749230980873108,AutoTransOp v1,validation,MCF7,3
2,0.541670501232147,0.504468619823456,0.75374698638916,0.744181036949158,AutoTransOp v1,validation,MCF7,3
3,0.552762508392334,0.5344278216362,0.768890917301178,0.764029979705811,AutoTransOp v1,validation,MCF7,3
4,0.5414137840271,0.522159218788147,0.760011732578278,0.755147755146027,AutoTransOp v1,validation,MCF7,3
0,0.00681766914203763,0.00840442348271608,0.32719624042511,0.327201277017593,shuffled,validation,MCF7,3
1,0.00647357804700732,-0.00467539997771382,0.317926377058029,0.31672528386116,shuffled,validation,MCF7,3
2,0.00341474823653698,0.000968454522080719,0.32183176279068,0.323440283536911,shuffled,validation,MCF7,3
3,0.00562444049865007,0.00426776567474008,0.324182540178299,0.322672963142395,shuffled,validation,MCF7,3
4,-0.00259740487672389,-0.00370767898857594,0.330636024475098,0.327646523714066,shuffled,validation,MCF7,3
0,0.5497065782547,0.534853756427765,0.750588655471802,0.749073624610901,AutoTransOp v1,validation,MCF7,4
1,0.515116035938263,0.507066428661346,0.751469671726227,0.750841021537781,AutoTransOp v1,validation,MCF7,4
2,0.505235731601715,0.495591551065445,0.749116182327271,0.752345740795136,AutoTransOp v1,validation,MCF7,4
3,0.541727483272553,0.543844521045685,0.768057227134705,0.762527763843536,AutoTransOp v1,validation,MCF7,4
4,0.512152552604675,0.522369980812073,0.75590717792511,0.757630527019501,AutoTransOp v1,validation,MCF7,4
0,-0.00853479001671076,-0.00519206328317523,0.330802440643311,0.322779923677444,shuffled,validation,MCF7,4
1,-0.00856578722596169,-0.000329157628584653,0.31892317533493,0.318390697240829,shuffled,validation,MCF7,4
2,0.00255957059562206,0.00489218207076192,0.32678285241127,0.31560143828392,shuffled,validation,MCF7,4
3,-0.016027519479394,-0.0118397437036037,0.318607419729233,0.324387699365616,shuffled,validation,MCF7,4
4,-0.00773350475355983,-0.00865442585200071,0.322788596153259,0.322956681251526,shuffled,validation,MCF7,4
0,0.505345821380615,0.511689305305481,0.728236258029938,0.736524820327759,AutoTransOp v1,validation,A549,0
1,0.505989730358124,0.498172700405121,0.738387584686279,0.736852824687958,AutoTransOp v1,validation,A549,0
2,0.516545295715332,0.500655353069305,0.753508806228638,0.750429749488831,AutoTransOp v1,validation,A549,0
3,0.473351955413818,0.477889478206635,0.721855521202087,0.723727643489838,AutoTransOp v1,validation,A549,0
4,0.488561242818832,0.492060363292694,0.743781447410584,0.751188695430756,AutoTransOp v1,validation,A549,0
0,0.0118850832805038,0.0108752651140094,0.331323444843292,0.330613940954208,shuffled,validation,A549,0
1,-0.00644830008968711,-0.0102928141131997,0.330710351467133,0.333834767341614,shuffled,validation,A549,0
2,0.00395644595846534,0.00772902322933078,0.334068268537521,0.338130325078964,shuffled,validation,A549,0
3,0.0180665273219347,0.0155328987166286,0.34071671962738,0.333584398031235,shuffled,validation,A549,0
4,0.0077952048741281,0.00597809441387653,0.332728177309036,0.339733213186264,shuffled,validation,A549,0
0,0.506894528865814,0.492538034915924,0.73437887430191,0.733685851097107,AutoTransOp v1,validation,A549,1
1,0.489377200603485,0.482265055179596,0.736757934093475,0.739634931087494,AutoTransOp v1,validation,A549,1
2,0.52304482460022,0.511027872562408,0.751915633678436,0.750582873821259,AutoTransOp v1,validation,A549,1
3,0.477839887142181,0.487752646207809,0.720294117927551,0.720681667327881,AutoTransOp v1,validation,A549,1
4,0.535126864910126,0.514887273311615,0.746347367763519,0.746192932128906,AutoTransOp v1,validation,A549,1
0,-0.00188933336175978,-0.00418033450841904,0.339721888303757,0.33480241894722,shuffled,validation,A549,1
1,-0.0110605331137776,-0.0147482194006443,0.338878363370895,0.336211413145065,shuffled,validation,A549,1
2,0.00660756789147854,0.00707147130742669,0.339114993810654,0.341899335384369,shuffled,validation,A549,1
3,0.0117385946214199,0.00719850137829781,0.332688868045807,0.329109609127045,shuffled,validation,A549,1
4,-0.00195890851318836,0.00313451583497226,0.340662688016892,0.340834587812424,shuffled,validation,A549,1
0,0.502375423908234,0.515205442905426,0.731321334838867,0.737365663051605,AutoTransOp v1,validation,A549,2
1,0.50804078578949,0.506765067577362,0.734712958335877,0.736963450908661,AutoTransOp v1,validation,A549,2
2,0.531497597694397,0.519822955131531,0.751643896102905,0.749267637729645,AutoTransOp v1,validation,A549,2
3,0.472113907337189,0.484288185834885,0.721150696277618,0.72546923160553,AutoTransOp v1,validation,A549,2
4,0.504885137081146,0.5106480717659,0.74841183423996,0.750479519367218,AutoTransOp v1,validation,A549,2
0,-0.00588754424825311,-0.000198160458239727,0.329590648412704,0.341063261032105,shuffled,validation,A549,2
1,0.00486781215295196,0.0125956861302257,0.344509035348892,0.3320352435112,shuffled,validation,A549,2
2,0.00285611301660538,0.000972977897617966,0.333593249320984,0.334716856479645,shuffled,validation,A549,2
3,-0.00473808869719505,0.00185274565592408,0.335787028074265,0.345520496368408,shuffled,validation,A549,2
4,0.00353863532654941,-0.00223120348528028,0.341979652643204,0.334301888942719,shuffled,validation,A549,2
0,0.487762480974197,0.503148078918457,0.731549263000488,0.73922723531723,AutoTransOp v1,validation,A549,3
1,0.491033226251602,0.503179430961609,0.732016801834106,0.742042064666748,AutoTransOp v1,validation,A549,3
2,0.490743488073349,0.506318986415863,0.748820424079895,0.753854036331177,AutoTransOp v1,validation,A549,3
3,0.468739926815033,0.486454427242279,0.720390856266022,0.72643119096756,AutoTransOp v1,validation,A549,3
4,0.49528431892395,0.512374222278595,0.746264338493347,0.750885128974915,AutoTransOp v1,validation,A549,3
0,0.00903335493057966,0.00426448928192258,0.336807936429977,0.331152141094208,shuffled,validation,A549,3
1,0.00649610720574856,0.0105302659794688,0.32824519276619,0.347186863422394,shuffled,validation,A549,3
2,0.00280055473558605,-0.00908361468464136,0.335046201944351,0.337446391582489,shuffled,validation,A549,3
3,-0.00116851332131773,-0.00627180654555559,0.327502906322479,0.339383244514465,shuffled,validation,A549,3
4,0.00873246416449547,0.00317133753560483,0.338051468133926,0.334154427051544,shuffled,validation,A549,3
0,0.492508709430695,0.490635961294174,0.73584645986557,0.734441161155701,AutoTransOp v1,validation,A549,4
1,0.528090119361877,0.521166920661926,0.734410643577576,0.732593297958374,AutoTransOp v1,validation,A549,4
2,0.507727563381195,0.495975285768509,0.753589928150177,0.749655425548554,AutoTransOp v1,validation,A549,4
3,0.489517539739609,0.471537262201309,0.722890019416809,0.719137489795685,AutoTransOp v1,validation,A549,4
4,0.534876942634583,0.508837461471558,0.751645863056183,0.745570600032806,AutoTransOp v1,validation,A549,4
0,-0.00130048266146332,-0.00323210656642914,0.336810737848282,0.341213166713715,shuffled,validation,A549,4
1,0.0126555571332574,0.00141719705425203,0.332057654857636,0.331881850957871,shuffled,validation,A549,4
2,-0.00727822165936232,-0.0034798588603735,0.333799004554749,0.342657744884491,shuffled,validation,A549,4
3,-0.000432460277806968,0.0038970501627773,0.32863861322403,0.333948940038681,shuffled,validation,A549,4
4,5.84978733968455e-05,0.00637639360502362,0.345424681901932,0.332535475492477,shuffled,validation,A549,4
0,0.450118452310562,0.415080308914185,0.700928330421448,0.694117546081543,AutoTransOp v1,validation,NPC,0
1,0.429424554109573,0.42374312877655,0.720417439937592,0.712122678756714,AutoTransOp v1,validation,NPC,0
2,0.407784730195999,0.359860420227051,0.731618940830231,0.729720592498779,AutoTransOp v1,validation,NPC,0
3,0.403466016054153,0.429909467697144,0.727093756198883,0.716071128845215,AutoTransOp v1,validation,NPC,0
4,0.406630754470825,0.403542995452881,0.723722457885742,0.71315461397171,AutoTransOp v1,validation,NPC,0
0,0.00106373499147594,-0.0135743580758572,0.300519376993179,0.312070310115814,shuffled,validation,NPC,0
1,0.00273657427169383,0.000317450176225975,0.314633101224899,0.310444325208664,shuffled,validation,NPC,0
2,0.020143274217844,0.0186922736465931,0.303209602832794,0.314489811658859,shuffled,validation,NPC,0
3,0.00299979164265096,-0.00503727653995156,0.312517315149307,0.301861852407455,shuffled,validation,NPC,0
4,-0.00249105622060597,0.0128874471411109,0.30591157078743,0.312796354293823,shuffled,validation,NPC,0
0,0.404744297266006,0.40772271156311,0.693690180778503,0.703684449195862,AutoTransOp v1,validation,NPC,1
1,0.416290074586868,0.45348796248436,0.708023011684418,0.72131758928299,AutoTransOp v1,validation,NPC,1
2,0.424497485160828,0.400490760803223,0.723752617835999,0.737427711486816,AutoTransOp v1,validation,NPC,1
3,0.412921726703644,0.450873792171478,0.725919425487518,0.726377367973328,AutoTransOp v1,validation,NPC,1
4,0.431415498256683,0.431499600410461,0.71429181098938,0.71847015619278,AutoTransOp v1,validation,NPC,1
0,-0.00377844157628715,-0.0194428227841854,0.317801058292389,0.31578540802002,shuffled,validation,NPC,1
1,-0.0066037168726325,0.00219631474465132,0.316056489944458,0.306641340255737,shuffled,validation,NPC,1
2,0.00484347622841597,0.0112711694091558,0.321093827486038,0.306413650512695,shuffled,validation,NPC,1
3,0.0113021153956652,-0.0018129067029804,0.298685640096664,0.307148307561874,shuffled,validation,NPC,1
4,0.0436895936727524,0.0275927260518074,0.299699455499649,0.324033886194229,shuffled,validation,NPC,1
0,0.389644622802734,0.389520704746246,0.701497852802277,0.68951427936554,AutoTransOp v1,validation,NPC,2
1,0.44804260134697,0.405757904052734,0.727586984634399,0.704119324684143,AutoTransOp v1,validation,NPC,2
2,0.431029468774796,0.425267696380615,0.738194465637207,0.721830308437347,AutoTransOp v1,validation,NPC,2
3,0.388212233781815,0.414726942777634,0.728886604309082,0.718902885913849,AutoTransOp v1,validation,NPC,2
4,0.411784708499908,0.39056658744812,0.724609553813934,0.710737407207489,AutoTransOp v1,validation,NPC,2
0,-0.0191482100635767,-0.00782188028097153,0.320221602916718,0.305004596710205,shuffled,validation,NPC,2
1,-0.0112524358555675,0.00148114294279367,0.301981329917908,0.302861720323563,shuffled,validation,NPC,2
2,0.00528591172769666,-0.0023208549246192,0.313465297222137,0.30934602022171,shuffled,validation,NPC,2
3,-0.0103560974821448,-0.0033549047075212,0.310123562812805,0.283614069223404,shuffled,validation,NPC,2
4,0.0077679343521595,0.0115143712610006,0.30445921421051,0.302612870931625,shuffled,validation,NPC,2
0,0.39991483092308,0.393544256687164,0.69548636674881,0.698230624198914,AutoTransOp v1,validation,NPC,3
1,0.449212700128555,0.420191407203674,0.721300840377808,0.713540554046631,AutoTransOp v1,validation,NPC,3
2,0.398996114730835,0.379296064376831,0.734815955162048,0.728397130966187,AutoTransOp v1,validation,NPC,3
3,0.41549551486969,0.428252935409546,0.723288774490356,0.72065007686615,AutoTransOp v1,validation,NPC,3
4,0.420708149671555,0.436028480529785,0.717498183250427,0.714128196239471,AutoTransOp v1,validation,NPC,3
0,-0.00688420981168747,-0.00802531559020281,0.309823840856552,0.31309112906456,shuffled,validation,NPC,3
1,-0.00980427861213684,-0.0054299458861351,0.309578359127045,0.314520657062531,shuffled,validation,NPC,3
2,0.00715884333476424,0.0027338417712599,0.31477302312851,0.314027190208435,shuffled,validation,NPC,3
3,0.000710086314938963,0.00163065677043051,0.29999390244484,0.309257924556732,shuffled,validation,NPC,3
4,-0.00348609639331698,0.00608538556843996,0.303490310907364,0.30778843164444,shuffled,validation,NPC,3
0,0.405386686325073,0.420631498098373,0.692514419555664,0.700115084648132,AutoTransOp v1,validation,NPC,4
1,0.430130928754807,0.44257789850235,0.70878803730011,0.723646819591522,AutoTransOp v1,validation,NPC,4
2,0.392394602298737,0.43238165974617,0.72479248046875,0.73685747385025,AutoTransOp v1,validation,NPC,4
3,0.413433730602264,0.415382385253906,0.717073976993561,0.727446377277374,AutoTransOp v1,validation,NPC,4
4,0.438843637704849,0.44120916724205,0.715653717517853,0.718961894512177,AutoTransOp v1,validation,NPC,4
0,-0.0051400838419795,-0.00386601267382503,0.307736098766327,0.305159062147141,shuffled,validation,NPC,4
1,-0.000728401413653046,-0.010375989601016,0.308699131011963,0.30991929769516,shuffled,validation,NPC,4
2,0.00719810090959072,-0.0108797224238515,0.314912557601929,0.308422386646271,shuffled,validation,NPC,4
3,-0.0140628265216947,-0.00884205754846335,0.288180381059647,0.304640382528305,shuffled,validation,NPC,4
4,-0.00357755552977324,-0.0131212593987584,0.300460964441299,0.308169990777969,shuffled,validation,NPC,4
0,0.57685387134552,0.577956199645996,0.758151650428772,0.758616149425507,AutoTransOp v1,validation,HEPG2,0
1,0.527272284030914,0.521570444107056,0.743305861949921,0.742308914661408,AutoTransOp v1,validation,HEPG2,0
2,0.572976231575012,0.560633599758148,0.755759060382843,0.749699950218201,AutoTransOp v1,validation,HEPG2,0
3,0.558214902877808,0.572636604309082,0.74983686208725,0.752451121807098,AutoTransOp v1,validation,HEPG2,0
4,0.549062132835388,0.551102042198181,0.75017112493515,0.748448669910431,AutoTransOp v1,validation,HEPG2,0
0,0.00632094917818904,0.00617874134331942,0.346142649650574,0.330584496259689,shuffled,validation,HEPG2,0
1,-0.000836524937767535,0.00582145573571324,0.339552402496338,0.335264801979065,shuffled,validation,HEPG2,0
2,-0.00163736217655242,0.00813241768628359,0.34310644865036,0.338767319917679,shuffled,validation,HEPG2,0
3,-0.00394061766564846,-0.00105067063122988,0.334417700767517,0.335895955562592,shuffled,validation,HEPG2,0
4,0.011144288815558,0.00953558553010225,0.339471101760864,0.336134195327759,shuffled,validation,HEPG2,0
0,0.559879541397095,0.573239922523499,0.754169702529907,0.76546984910965,AutoTransOp v1,validation,HEPG2,1
1,0.523616492748261,0.540006577968597,0.737690031528473,0.747229814529419,AutoTransOp v1,validation,HEPG2,1
2,0.559428632259369,0.568215072154999,0.74968159198761,0.759573400020599,AutoTransOp v1,validation,HEPG2,1
3,0.556774437427521,0.563500106334686,0.747219026088715,0.755657434463501,AutoTransOp v1,validation,HEPG2,1
4,0.539061844348908,0.546370685100555,0.746929228305817,0.750632703304291,AutoTransOp v1,validation,HEPG2,1
