,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.7169005870819092,0.7138985991477966,0.781266450881958,0.7774693965911865,model,validation,A375,0
1,0.6942316889762878,0.6872425079345703,0.7600209712982178,0.7550670504570007,model,validation,A375,0
2,0.7112988233566284,0.7044677734375,0.78053218126297,0.7723641991615295,model,validation,A375,0
3,0.6879734396934509,0.6812494397163391,0.7615375518798828,0.7554481029510498,model,validation,A375,0
4,0.6980382204055786,0.6953725218772888,0.7679558992385864,0.763351321220398,model,validation,A375,0
0,0.0009902403689920902,-0.0009068511426448822,0.33265432715415955,0.3402331471443176,shuffled,validation,A375,0
1,0.003535475581884384,0.0013156102504581213,0.3230328857898712,0.32511061429977417,shuffled,validation,A375,0
2,-0.0031195427291095257,-0.012848913669586182,0.3207647502422333,0.32419243454933167,shuffled,validation,A375,0
3,0.014395997859537601,0.024826236069202423,0.3308359384536743,0.3315638601779938,shuffled,validation,A375,0
4,-0.014934330247342587,-0.008739965036511421,0.3345683813095093,0.32703498005867004,shuffled,validation,A375,0
0,0.7111432552337646,0.7234904170036316,0.7742495536804199,0.7852228879928589,model,validation,A375,1
1,0.6891371011734009,0.6977978348731995,0.7542291879653931,0.7607530355453491,model,validation,A375,1
2,0.7031825184822083,0.716740071773529,0.7720434069633484,0.7816729545593262,model,validation,A375,1
3,0.6818962097167969,0.6899193525314331,0.7538232803344727,0.7612342834472656,model,validation,A375,1
4,0.6883455514907837,0.7023535370826721,0.7614498734474182,0.7698643803596497,model,validation,A375,1
0,0.0025092281866818666,-0.004312889184802771,0.3178051710128784,0.32894590497016907,shuffled,validation,A375,1
1,0.0008603066089563072,0.003021844197064638,0.3249141573905945,0.3341868817806244,shuffled,validation,A375,1
2,0.0008966748137027025,0.007915588095784187,0.3280103802680969,0.3254273235797882,shuffled,validation,A375,1
3,-0.0053850580006837845,0.0002640792808961123,0.32111743092536926,0.32644665241241455,shuffled,validation,A375,1
4,-0.0012308122823014855,-0.0016947269905358553,0.3249150812625885,0.3253132104873657,shuffled,validation,A375,1
0,0.7167240977287292,0.7143266201019287,0.7817855477333069,0.7779257297515869,model,validation,A375,2
1,0.688799262046814,0.6944189071655273,0.7562296986579895,0.7574746012687683,model,validation,A375,2
2,0.7097277641296387,0.7075172662734985,0.7778159379959106,0.7758288979530334,model,validation,A375,2
3,0.6834248304367065,0.6870162487030029,0.7570005655288696,0.7585761547088623,model,validation,A375,2
4,0.6932411789894104,0.6992510557174683,0.763387143611908,0.767849326133728,model,validation,A375,2
0,0.0013326669577509165,0.010716201737523079,0.3267272114753723,0.32120323181152344,shuffled,validation,A375,2
1,0.0015775649808347225,-0.0036472948268055916,0.33421438932418823,0.3368728756904602,shuffled,validation,A375,2
2,-0.005895078182220459,-0.0007746258634142578,0.3198525309562683,0.32960233092308044,shuffled,validation,A375,2
3,0.0023169158957898617,-0.01302148774266243,0.32500046491622925,0.3243046998977661,shuffled,validation,A375,2
4,-0.00348585844039917,0.0022636146750301123,0.3293842077255249,0.33467337489128113,shuffled,validation,A375,2
0,0.7157244086265564,0.7147599458694458,0.7802515029907227,0.7801204919815063,model,validation,A375,3
1,0.6889361143112183,0.6946131587028503,0.7573904991149902,0.758087158203125,model,validation,A375,3
2,0.7109670042991638,0.7090292572975159,0.7778003215789795,0.7761497497558594,model,validation,A375,3
3,0.6831039786338806,0.6869329214096069,0.7570419311523438,0.7576866149902344,model,validation,A375,3
4,0.6912463903427124,0.6975246071815491,0.7628946304321289,0.7679861187934875,model,validation,A375,3
0,-0.013131862506270409,-0.009176825173199177,0.33108189702033997,0.3429526686668396,shuffled,validation,A375,3
1,-0.01761360839009285,-0.01204878743737936,0.3322472870349884,0.33548396825790405,shuffled,validation,A375,3
2,0.008044860325753689,0.003128069220110774,0.34227055311203003,0.3310844600200653,shuffled,validation,A375,3
3,-0.0065485103987157345,-0.0036949182394891977,0.33064502477645874,0.33124813437461853,shuffled,validation,A375,3
4,0.011712091974914074,0.00026966261793859303,0.3339826464653015,0.32518357038497925,shuffled,validation,A375,3
0,0.7220331430435181,0.7094435691833496,0.7839527726173401,0.7751324772834778,model,validation,A375,4
1,0.6951478123664856,0.6915256977081299,0.7592994570732117,0.7563017010688782,model,validation,A375,4
2,0.7153409719467163,0.7029792070388794,0.78127521276474,0.7722831964492798,model,validation,A375,4
3,0.6901453137397766,0.6835682988166809,0.7594845294952393,0.7569275498390198,model,validation,A375,4
4,0.6992617845535278,0.6905336976051331,0.7683364152908325,0.7648677229881287,model,validation,A375,4
0,0.012438510544598103,0.00803526584059,0.3299561142921448,0.33585530519485474,shuffled,validation,A375,4
1,0.006207986734807491,0.002189023420214653,0.3320276737213135,0.3298419713973999,shuffled,validation,A375,4
2,-0.001276183407753706,0.0010812155669555068,0.32930251955986023,0.32790061831474304,shuffled,validation,A375,4
3,0.0034009607043117285,-0.005916997790336609,0.33545058965682983,0.3262033760547638,shuffled,validation,A375,4
4,-0.007848952896893024,-0.00047306486521847546,0.33298254013061523,0.32518407702445984,shuffled,validation,A375,4
