,r,set
0,0.8704245686531067,train
1,0.8688526749610901,train
2,0.8700682520866394,train
3,0.86625075340271,train
4,0.8720456957817078,train
5,0.8691532015800476,train
6,0.8678700923919678,train
7,0.8699860572814941,train
8,0.8706443905830383,train
9,0.8706670999526978,train
0,0.8062811493873596,validation
1,0.8125893473625183,validation
2,0.8085547685623169,validation
3,0.8105080127716064,validation
4,0.8130255937576294,validation
5,0.8174540400505066,validation
6,0.8125506639480591,validation
7,0.8102809190750122,validation
8,0.8022623062133789,validation
9,0.8026514053344727,validation
